title,author,price,stock,pages,binding,category,subcategory
APRENDE A DIBUJAR. UN CURSO PARA POTENCIAR LA CREATIVIDAD Y LA CONFIANZA ARTÍSTICA,"EDWARDS, BETTY","19,95 €",Última unidad,320,Bolsillo,Arte y Manualidades,Dibujo y pintura
LETREARTE,"MASSANA, LAURA","17,96 €",Última unidad,208,,Arte y Manualidades,Dibujo y pintura
RETRATOS,VARIOS AUTORES,"6,60 €",Última unidad,128,Bolsillo,Arte y Manualidades,Dibujo y pintura
GRANDES CLÁSICOS,VARIOS AUTORES,"9,45 €",Última unidad,128,Bolsillo,Arte y Manualidades,Dibujo y pintura
LOS CUADERNOS DEL DIBUJANTE. CARAS Y EXPRESIONES. 50 MODELOS PARA EMPEZAR,"HERZOG, LISE","8,55 €",Última unidad,32,Troquelado,Arte y Manualidades,Dibujo y pintura
MIS PRIMEROS MANDALAS,,"9,45 €",Última unidad,96,Rústica,Arte y Manualidades,Dibujo y pintura
MANDALAS CALMA. PARA CONECTAR CON TU ESENCIA,,"9,45 €",En stock,96,Rústica,Arte y Manualidades,Dibujo y pintura
GEOMETRIA DESCRIPTIVA,"GOMEZ JIMENEZ, FRANCISCO","23,37 €",,242,,Arte y Manualidades,Dibujo tecnico
LOVE STORIES. MANDALAS,VARIOS AUTORES,"7,55 €",Última unidad,,,Arte y Manualidades,Dibujo y pintura
LOS BENEFICIOS DEL AYUNO. HACIA EL BIENESTAR FÍSICO Y MENTAL,"BARRIONUEVO BURGOS, EDGAR","12,30 €",Última unidad,144,Bolsillo,Cocina,Belleza y dietas
AYUNO INTUITIVO. CON PRÓLOGO DE GWYNETH PALTROW,"COLE, WILL DR.","20,90 €",En stock,448,Bolsillo,Cocina,Belleza y dietas
"AYUNO INTERMITENTE SALUDABLE. GANA ENERGÍA Y SALUD, MEJORA TU DESCANSO Y POTENCIA TU LONGEVIDAD",CARLA ZAPLANA,"9,45 €",En stock,224,Bolsillo,Cocina,Belleza y dietas
"THE FEEL GOOD BOOK. UN LIBRO PARA MEJORAR LA RELACIÓN CON NUESTRO CUERPO, LA COMIDA Y NOSOTRAS MISMA","FERNANDEZ, CLAUDIA","16,06 €",Última unidad,192,Bolsillo,Cocina,Belleza y dietas
AYUNO CONSCIENTE. UNA PRÁCTICA DE AUTOCONOCIMIENTO 4.0,"MONTIEL, ENDIKA","9,45 €",En stock,256,Bolsillo,Cocina,Belleza y dietas
ACEITES ESENCIALES PARA PRINCIPIANTES. LA GUÍA DEFINITIVA,LISA BUTTERWORTH,"16,63 €",Última unidad,168,Bolsillo,Cocina,Belleza y dietas
VACÍO Y PLENITUD. EL LENGUAJE DE LA PINTURA CHINA,"CHENG, FRANCOIS","16,10 €",Última unidad,296,Rústica,Arte y Manualidades,Arte
PIERDE PESO Y GANA SALUD,"RODRIGAÑEZ, PILAR","17,96 €",Última unidad,176,,Cocina,Belleza y dietas
MIS RECETAS DE COCINA ANTICÁNCER,"FERNANDEZ, ODILE","24,70 €",Última unidad,320,Bolsillo,Cocina,Belleza y dietas
DIME QUE COMES Y TE DIRE QUE BACTERIAS TIENES,"GARCIA OREA, BLANCA","18,91 €",En stock,272,,Cocina,Belleza y dietas
"COME MIERDA. NO COMAS MEJOR, DEJA DE COMER PEOR","BASULTO, JULIO","17,96 €",Última unidad,352,Bolsillo,Cocina,Belleza y dietas
